Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
F du Plessis (RCB),12,12,1,631,84,57.36,409,154.27,-,7,-,48,34
YBK Jaiswal (RR),13,13,1,575,124,47.91,346,166.18,1,4,1,74,26
Shubman Gill (GT),13*,13,2,533,94*,48.45,362,147.23,-,5,1,59,13
DP Conway (CSK),13,12,2,498,92*,49.8,370,134.59,-,5,1,58,13
SA Yadav (MI),12,12,1,479,103*,43.54,251,190.83,1,4,1,52,24
V Kohli (RCB),12,12,1,438,82*,39.81,333,131.53,-,6,1,40,11
RD Gaikwad (CSK),13,12,1,425,92,38.63,290,146.55,-,2,-,33,21
RK Singh (KKR),13,13,5,407,58*,50.87,284,143.3,-,3,-,25,25
N Rana (KKR),13,13,1,405,75,33.75,283,143.1,-,3,-,38,20
JC Buttler (RR),13,13,0,392,95,30.15,278,141,-,4,4,42,14
DA Warner (DC),12,12,0,384,65,32,303,126.73,-,5,2,57,3
GJ Maxwell (RCB),12,12,1,384,77,34.9,210,182.85,-,5,2,27,30
VR Iyer (KKR),13,13,0,380,104,29.23,262,145.03,1,2,1,29,20
Ishan Kishan (MI),12,12,0,366,75,30.5,255,143.52,-,2,-,42,16
S Dube (CSK),13,11,2,363,52,40.33,231,157.14,-,3,-,12,30
KR Mayers (LSG),12,12,0,361,73,30.08,250,144.4,-,4,2,35,22
SV Samson (RR),13,13,2,360,66*,32.72,233,154.5,-,3,2,25,24
S Dhawan (PBKS),9,9,2,356,99*,50.85,248,143.54,-,3,-,47,11
Prabhsimran Singh (PBKS),12,12,0,334,103,27.83,217,153.91,1,1,2,34,19
N Pooran (LSG),12,12,2,292,62,29.2,168,173.8,-,1,1,21,21
AM Rahane (CSK),11,9,1,282,71*,35.25,166,169.87,-,2,-,22,13
HH Pandya (GT),12*,11,2,281,66,31.22,215,130.69,-,2,-,22,11
MP Stoinis (LSG),12,12,1,279,72,25.36,196,142.34,-,2,1,19,18
C Green (MI),12,12,5,277,67,39.57,186,148.92,-,2,-,24,11
WP Saha (GT),13*,13,1,275,81,22.91,207,132.85,-,1,2,35,7
KL Rahul (LSG),9,9,1,274,74,34.25,242,113.22,-,2,-,28,4
NT Tilak Varma (MI),9,9,3,274,84*,45.66,173,158.38,-,1,-,21,18
AR Patel (DC),12,12,3,268,54,29.77,195,137.43,-,1,-,20,14
JM Sharma (PBKS),12,12,1,265,49*,24.09,167,158.68,-,-,-,19,18
H Klaasen (SRH),10*,8,2,262,53*,43.66,145,180.68,-,1,-,18,16
RA Tripathi (SRH),12*,11,1,257,74*,25.7,199,129.14,-,1,1,27,9
SO Hetmyer (RR),13,12,5,253,56*,36.14,169,149.7,-,1,-,8,20
DA Miller (GT),12*,10,5,242,46,48.4,160,151.25,-,-,1,16,13
JJ Roy (KKR),7,7,0,240,61,34.28,160,150,-,2,-,29,11
V Shankar (GT),10,8,2,234,63*,39,143,163.63,-,2,-,20,12
RG Sharma (MI),12,12,0,220,65,18.33,171,128.65,-,1,2,24,12
AD Russell (KKR),13,13,3,220,42,22,147,149.65,-,-,1,13,17
Rahmanullah Gurbaz (KKR),10,10,0,217,81,21.7,155,140,-,2,2,17,15
SM Curran (PBKS),12,11,2,216,55,24,167,129.34,-,1,-,15,10
A Badoni (LSG),12,10,2,212,59*,26.5,144,147.22,-,1,-,11,11
Abhishek Sharma (SRH),10*,9,0,210,67,23.33,138,152.17,-,2,1,25,6
D Padikkal (RR),10,10,1,210,52,23.33,170,123.52,-,1,-,26,3
AK Markram (SRH),11*,10,1,207,50,23,160,129.37,-,1,1,17,7
B Sai Sudharsan (GT),6*,6,2,199,62*,49.75,162,122.83,-,2,-,18,4
N Wadhera (MI),10,7,1,198,64,33,131,151.14,-,2,1,18,10
PD Salt (DC),7,7,0,189,87,27,113,167.25,-,2,2,22,8
MA Agarwal (SRH),9,9,0,187,49,20.77,164,114.02,-,-,-,21,2
TH David (MI),12,12,5,184,45*,26.28,111,165.76,-,-,2,10,12
LS Livingstone (PBKS),7,7,1,176,82*,29.33,110,160,-,1,-,14,10
Abdul Samad (SRH),8*,7,4,165,37*,55,125,132,-,-,-,9,11
HC Brook (SRH),9,9,1,163,100*,20.37,134,121.64,1,-,2,21,3
MK Pandey (DC),10,9,0,160,50,17.77,146,109.58,-,1,2,15,3
DC Jurel (RR),12,10,3,142,34*,20.28,84,169.04,-,-,1,11,8
KD Karthik (RCB),12,12,1,140,30,12.72,103,135.92,-,-,3,13,5
Sikandar Raza (PBKS),7,7,2,139,57,27.8,98,141.83,-,1,-,10,6
MK Lomror (RCB),10,9,2,134,54*,19.14,94,142.55,-,1,1,9,8
RA Jadeja (CSK),13,9,2,133,25*,19,104,127.88,-,-,-,5,7
MR Marsh (DC),9,9,0,128,63,14.22,97,131.95,-,1,2,11,7
RR Rossouw (DC),7,7,1,127,35*,21.16,103,123.3,-,-,1,11,5
AT Rayudu (CSK),13,10,2,122,27*,15.25,96,127.08,-,-,1,8,6
KH Pandya (LSG),12,11,3,122,34,15.25,104,117.3,-,-,3,13,4
MW Short (PBKS),6,6,0,117,36,19.5,92,127.17,-,-,-,15,4
MM Ali (CSK),12,9,2,115,23,16.42,87,132.18,-,-,-,12,5
A Manohar (GT),9,6,0,114,42,19,83,137.34,-,-,-,6,7
A Taide (PBKS),5,5,0,112,66,22.4,75,149.33,-,1,1,12,3
SN Thakur (KKR),10,9,2,110,68,15.71,63,174.6,-,1,2,13,4
M Shahrukh Khan (PBKS),12,11,5,109,23*,18.16,68,160.29,-,-,-,9,6
Aman Hakim Khan (DC),9,8,1,103,51,14.71,92,111.95,-,1,1,6,6
Anmolpreet Singh (SRH),3,3,0,100,36,33.33,78,128.2,-,-,-,14,2
Q de Kock (LSG),2,2,0,99,70,49.5,60,165,-,1,-,10,4
MS Dhoni (CSK),13,9,7,98,32*,49,50,196,-,-,-,3,10
Rashid Khan (GT),13*,5,4,95,79*,95,39,243.58,-,1,-,4,11
N Jagadeesan (KKR),6,6,0,89,36,14.83,81,109.87,-,-,1,14,1
R Tewatia (GT),13*,7,5,77,20*,38.5,44,175,-,-,-,3,7
Harpreet Singh (PBKS),3,3,0,76,41,25.33,59,128.81,-,-,-,8,3
PBB Rajapaksa (PBKS),4,4,1,71,50,23.66,62,114.51,-,1,1,6,2
Anuj Rawat (RCB),7,6,3,68,29*,22.66,56,121.42,-,-,-,5,3
R Ashwin (RR),13,10,4,67,30,11.16,51,131.37,-,-,2,5,3
PN Mankad (LSG),2,2,2,64,64*,-,45,142.22,-,1,-,7,2
DJ Hooda (LSG),10,10,1,64,17,7.11,70,91.42,-,-,-,3,1
Washington Sundar (SRH),7,5,1,60,24*,15,60,100,-,-,-,6,0
Lalit Yadav (DC),5,5,1,60,38,15,47,127.65,-,-,-,8,0
R Parag (RR),6,6,1,58,20,11.6,54,107.4,-,-,-,3,3
SN Khan (DC),4,4,0,53,30,13.25,62,85.48,-,-,-,4,1
Harpreet Brar (PBKS),11,7,2,52,17*,10.4,40,130,-,-,-,5,2
RV Patel (DC),5,4,1,49,23,16.33,43,113.95,-,-,-,3,1
K Gowtham (LSG),5,5,2,48,23,16,30,160,-,-,-,1,4
PP Shaw (DC),6,6,0,47,15,7.83,40,117.5,-,-,2,8,0
Shahbaz Ahmed (RCB),9,6,2,42,20*,10.5,39,107.69,-,-,-,3,1
A Nortje (DC),8,6,3,37,23*,12.33,28,132.14,-,-,1,6,0
M Jansen (SRH),8*,5,3,36,17*,18,37,97.29,-,-,-,4,0
DJ Willey (RCB),4,3,3,35,20*,-,32,109.37,-,-,-,4,0
SS Prabhudessai (RCB),5,4,0,35,19,8.75,29,120.68,-,-,1,1,2
GD Phillips (SRH),3,3,0,33,25,11,14,235.71,-,-,1,1,4
Abishek Porel (DC),4,4,0,33,20,8.25,31,106.45,-,-,-,1,2
PWH de Silva (RCB),8,5,3,33,12*,16.5,28,117.85,-,-,-,3,0
Kuldeep Yadav (DC),12,9,8,31,10*,31,47,65.95,-,-,1,2,0
Vishnu Vinod (MI),1,1,0,30,30,30,20,150,-,-,-,2,2
MG Bracewell (RCB),3,2,1,28,19,28,27,103.7,-,-,-,1,1
T Stubbs (MI),2,2,0,25,20,12.5,31,80.64,-,-,-,2,0
